id,transaction_date,transaction_amount,transaction_status,transaction_type,platform_used,id_bill
TXN001,2024-06-01 10:00:00,38940,Pending,Bill Payment,Nequi,FAC7068
TXN002,2024-07-09 12:00:00,75145,Pending,Bill Payment,Daviplata,FAC6577
TXN003,2024-06-13 10:00:00,179217,Failed,Bill Payment,Daviplata,FAC5707
TXN004,2024-07-26 13:00:00,51767,Failed,Bill Payment,Daviplata,FAC7188
TXN005,2024-07-28 06:00:00,156501,Completed,Bill Payment,Daviplata,FAC7289
TXN006,2024-07-16 21:00:00,32428,Completed,Bill Payment,Nequi,FAC2190
TXN007,2024-07-26 22:00:00,75301,Pending,Bill Payment,Daviplata,FAC6207
TXN008,2024-06-17 16:00:00,16870,Pending,Bill Payment,Nequi,FAC1691
TXN009,2024-07-10 23:00:00,21794,Failed,Bill Payment,Nequi,FAC4680
TXN010,2024-06-19 23:00:00,193307,Completed,Bill Payment,Daviplata,FAC8010
TXN011,2024-06-01 06:00:00,159093,Completed,Bill Payment,Daviplata,FAC1328
TXN012,2024-07-12 19:00:00,174518,Pending,Bill Payment,Nequi,FAC8140
TXN013,2024-07-04 12:00:00,110254,Failed,Bill Payment,Daviplata,FAC4679
TXN014,2024-07-12 04:00:00,162283,Pending,Bill Payment,Nequi,FAC3589
TXN015,2024-06-21 12:00:00,22161,Pending,Bill Payment,Daviplata,FAC6122
TXN016,2024-07-08 12:00:00,195775,Pending,Bill Payment,Daviplata,FAC4870
TXN017,2024-06-27 03:00:00,20824,Failed,Bill Payment,Nequi,FAC5322
TXN018,2024-07-09 05:00:00,191134,Completed,Bill Payment,Nequi,FAC8663
TXN019,2024-06-16 20:00:00,62979,Completed,Bill Payment,Daviplata,FAC4380
TXN020,2024-06-08 22:00:00,36472,Failed,Bill Payment,Daviplata,FAC5128
TXN021,2024-06-16 06:00:00,127881,Completed,Bill Payment,Nequi,FAC7986
TXN022,2024-07-30 03:00:00,26317,Failed,Bill Payment,Daviplata,FAC7543
TXN023,2024-07-27 01:00:00,147364,Pending,Bill Payment,Nequi,FAC7964
TXN024,2024-06-26 01:00:00,153404,Pending,Bill Payment,Daviplata,FAC1309
TXN025,2024-07-07 10:00:00,14210,Completed,Bill Payment,Nequi,FAC8025
TXN026,2024-06-08 19:00:00,49012,Completed,Bill Payment,Daviplata,FAC8943
TXN027,2024-06-28 06:00:00,40302,Failed,Bill Payment,Daviplata,FAC1190
TXN028,2024-07-03 01:00:00,27833,Pending,Bill Payment,Daviplata,FAC4264
TXN029,2024-07-29 02:00:00,30313,Failed,Bill Payment,Nequi,FAC1462
TXN030,2024-07-26 20:00:00,134884,Failed,Bill Payment,Daviplata,FAC6381
TXN031,2024-07-03 10:00:00,28982,Completed,Bill Payment,Nequi,FAC8571
TXN032,2024-06-15 17:00:00,158030,Pending,Bill Payment,Nequi,FAC7018
TXN033,2024-06-24 08:00:00,196009,Failed,Bill Payment,Daviplata,FAC4082
TXN034,2024-06-22 17:00:00,68526,Pending,Bill Payment,Daviplata,FAC5756
TXN035,2024-06-23 12:00:00,165287,Completed,Bill Payment,Nequi,FAC9278
TXN036,2024-06-28 11:00:00,178265,Failed,Bill Payment,Nequi,FAC6223
TXN037,2024-07-23 18:00:00,98069,Completed,Bill Payment,Nequi,FAC8510
TXN038,2024-07-28 00:00:00,153150,Completed,Bill Payment,Nequi,FAC4305
TXN039,2024-06-05 12:00:00,86902,Pending,Bill Payment,Daviplata,FAC9358
TXN040,2024-06-28 04:00:00,96457,Pending,Bill Payment,Nequi,FAC1208
TXN041,2024-06-07 20:00:00,145586,Failed,Bill Payment,Daviplata,FAC5492
TXN042,2024-07-15 19:00:00,163425,Failed,Bill Payment,Nequi,FAC6585
TXN043,2024-07-26 02:00:00,186218,Pending,Bill Payment,Nequi,FAC2187
TXN044,2024-07-12 01:00:00,159000,Failed,Bill Payment,Daviplata,FAC7545
TXN045,2024-07-21 21:00:00,94554,Pending,Bill Payment,Daviplata,FAC9699
TXN046,2024-07-26 11:00:00,152659,Failed,Bill Payment,Daviplata,FAC2512
TXN047,2024-06-05 17:00:00,165021,Pending,Bill Payment,Daviplata,FAC1330
TXN048,2024-06-10 10:00:00,115066,Completed,Bill Payment,Daviplata,FAC9310
TXN049,2024-06-03 20:00:00,161029,Completed,Bill Payment,Daviplata,FAC9524
TXN050,2024-07-29 03:00:00,167924,Completed,Bill Payment,Nequi,FAC7938
TXN051,2024-07-24 19:00:00,147991,Pending,Bill Payment,Daviplata,FAC8649
TXN052,2024-07-26 11:00:00,124048,Completed,Bill Payment,Nequi,FAC4348
TXN053,2024-07-13 23:00:00,138162,Completed,Bill Payment,Nequi,FAC9905
TXN054,2024-06-28 00:00:00,161137,Failed,Bill Payment,Nequi,FAC5210
TXN055,2024-06-17 03:00:00,35669,Failed,Bill Payment,Daviplata,FAC8033
TXN056,2024-07-06 07:00:00,67867,Failed,Bill Payment,Nequi,FAC7850
TXN057,2024-07-25 20:00:00,58242,Failed,Bill Payment,Nequi,FAC7378
TXN058,2024-06-09 20:00:00,113319,Pending,Bill Payment,Nequi,FAC3104
TXN059,2024-07-11 23:00:00,37708,Completed,Bill Payment,Daviplata,FAC2382
TXN060,2024-07-20 16:00:00,54969,Pending,Bill Payment,Nequi,FAC6022
TXN061,2024-07-08 23:00:00,51411,Completed,Bill Payment,Daviplata,FAC3529
TXN062,2024-07-17 05:00:00,45233,Completed,Bill Payment,Nequi,FAC1856
TXN063,2024-06-10 01:00:00,99926,Failed,Bill Payment,Nequi,FAC5678
TXN064,2024-06-20 12:00:00,31572,Completed,Bill Payment,Nequi,FAC7474
TXN065,2024-06-14 03:00:00,123720,Pending,Bill Payment,Nequi,FAC9956
TXN066,2024-07-29 14:00:00,17171,Failed,Bill Payment,Daviplata,FAC7570
TXN067,2024-07-23 09:00:00,56259,Failed,Bill Payment,Daviplata,FAC2909
TXN068,2024-06-20 22:00:00,196548,Failed,Bill Payment,Daviplata,FAC2139
TXN069,2024-06-20 18:00:00,93635,Completed,Bill Payment,Daviplata,FAC8752
TXN070,2024-07-15 21:00:00,58585,Completed,Bill Payment,Daviplata,FAC8107
TXN071,2024-06-06 18:00:00,86244,Completed,Bill Payment,Daviplata,FAC7475
TXN072,2024-07-18 20:00:00,55572,Failed,Bill Payment,Nequi,FAC3660
TXN073,2024-06-21 06:00:00,50713,Failed,Bill Payment,Nequi,FAC9573
TXN074,2024-06-29 18:00:00,129480,Completed,Bill Payment,Nequi,FAC2238
TXN075,2024-07-03 20:00:00,41657,Completed,Bill Payment,Daviplata,FAC6979
TXN076,2024-06-15 11:00:00,126084,Completed,Bill Payment,Daviplata,FAC8740
TXN077,2024-06-04 07:00:00,190936,Failed,Bill Payment,Nequi,FAC9872
TXN078,2024-06-21 21:00:00,78561,Failed,Bill Payment,Nequi,FAC9634
TXN079,2024-07-23 11:00:00,162844,Completed,Bill Payment,Nequi,FAC9210
TXN080,2024-06-29 15:00:00,80235,Failed,Bill Payment,Nequi,FAC3888
TXN081,2024-06-18 00:00:00,158138,Pending,Bill Payment,Daviplata,FAC7110
TXN082,2024-06-06 15:00:00,101593,Pending,Bill Payment,Daviplata,FAC5649
TXN083,2024-06-22 03:00:00,103741,Pending,Bill Payment,Daviplata,FAC1490
TXN084,2024-07-04 02:00:00,41300,Pending,Bill Payment,Daviplata,FAC5439
TXN085,2024-06-19 11:00:00,89956,Completed,Bill Payment,Daviplata,FAC4962
TXN086,2024-07-13 05:00:00,165402,Completed,Bill Payment,Nequi,FAC8801
TXN087,2024-07-04 09:00:00,106689,Pending,Bill Payment,Nequi,FAC1904
TXN088,2024-06-14 11:00:00,22411,Completed,Bill Payment,Nequi,FAC7503
TXN089,2024-06-27 05:00:00,11359,Pending,Bill Payment,Daviplata,FAC7561
TXN090,2024-06-08 10:00:00,79808,Pending,Bill Payment,Nequi,FAC5390
TXN091,2024-07-05 21:00:00,42648,Pending,Bill Payment,Nequi,FAC1760
TXN092,2024-06-03 05:00:00,101468,Pending,Bill Payment,Daviplata,FAC3395
TXN093,2024-06-21 17:00:00,115488,Pending,Bill Payment,Daviplata,FAC1926
TXN094,2024-07-26 00:00:00,61920,Completed,Bill Payment,Daviplata,FAC7521
TXN095,2024-07-23 20:00:00,141510,Failed,Bill Payment,Nequi,FAC6693
TXN096,2024-07-08 19:00:00,39792,Pending,Bill Payment,Daviplata,FAC1513
TXN097,2024-07-09 05:00:00,87689,Completed,Bill Payment,Daviplata,FAC3039
TXN098,2024-07-06 00:00:00,178739,Failed,Bill Payment,Nequi,FAC3709
TXN099,2024-07-27 10:00:00,105611,Failed,Bill Payment,Daviplata,FAC3914
TXN100,2024-07-11 07:00:00,141787,Failed,Bill Payment,Daviplata,FAC8875